Iteration,GMRES (No Precond),BICGSTAB + AMG(SA),BICGSTAB + Diag+ILU0,GMRES + AMG(RS),GMRES + ILU0,GMRES + Diagonal,GMRES + AMG(SA),BICGSTAB + Diagonal,GMRES + Diag+ILU0,GMRES + ILU(0.01),BICGSTAB + ILU(0.01),BICGSTAB + AMG(RS),BICGSTAB (No Precond),BICGSTAB + LLDL,GMRES + LLDL,BICGSTAB + ILU0
1,0.10210387428038034,8.909688768875977,395.6205120817546,8.483797753633036,0.836447253914558,6.232542588319713,8.5025431761287,0.08172465789659492,760.7953189779731,6.232542588319713,0.07908996471584892,10.441862628243745,0.022062429194031844,0.0026352084618107906,6.824506706210482,1.1232198131507124e-5
2,0.05252056315473205,83.38479998710167,57.65381699708713,8.404841432750965,0.019652042650166648,1.1350071704740599,8.417659170240126,0.0031230252798281127,452.32049587707195,1.1350071704740599,0.0008800160198375481,30.757532977276927,0.005667716685284988,3.934515598945571e-8,0.25872760523373634,2.0513630980314876e-11
3,0.031243360684282056,4.1926467365162265,12.74504345024254,2.391180935188052,0.00046854036729602973,0.25830644006768927,2.3989526232884115,5.17246997522275e-6,267.72614121584013,0.25830644006768927,5.354642868042559e-6,3.46728708284918,0.0019083929564680318,1.3354167976759565e-12,0.018032708582862222,3.7134184414353485e-18
4,0.022007217523832407,0.3564968225380218,2.515334999946967,1.6320533449218397,1.1188463289044816e-5,0.06882049874977914,1.637096599419407,4.816922161175084e-8,150.61104828792674,0.06882049874977914,6.824781359429227e-8,0.02112595724411474,0.0008672781410400041,2.954406594163512e-17,0.0013459931962510688,
5,0.01547638236275218,0.20773025838543474,0.9102768530707669,1.6152216444379655,2.7312028357000354e-7,0.01804551044612812,1.6215902142230587,2.1248887821190764e-10,92.25659682753879,0.01804551044612812,2.574004441658377e-10,0.0010817750568632215,0.0006224655356927235,,8.923974007047561e-5,
6,0.010691888271057296,0.007209757424088115,0.2927392296462865,1.4172309458363233,6.466647688573303e-9,0.0047770057587278765,1.4377390170504476,1.4350559299034439e-12,47.24919347474273,0.0047770057587278765,2.1186002917718273e-12,0.00012223778547171694,0.00045450943196057286,,6.3755970707416715e-6,
7,0.00747438491262779,0.0005369201412057633,0.0938185533674624,0.6920024119457346,1.5652595079492652e-10,0.001290173701511515,1.2306591042632573,9.471466436429657e-15,35.42452909000567,0.001290173701511515,1.0752770408631411e-14,6.110311917306819e-6,0.0002571939981573698,,4.846029750169869e-7,
8,0.005020782109214093,0.00010222543402619779,0.012550183250251704,0.25491658116916266,3.747519890133431e-12,0.00034012188641782324,0.9921786472216907,6.297618676808158e-17,17.426705401474134,0.00034012188641782324,1.2893716510984217e-16,1.530923994198954e-6,0.00010793762657548971,,3.3121628817363326e-8,
9,0.0036164144339963836,1.7260449670554994e-5,0.0038581277720934836,0.1309715615897922,9.050072671617559e-14,9.219256173639804e-5,0.3818526906594681,,11.933269888188866,9.219256173639804e-5,,8.255195807369346e-8,2.890010024106781e-5,,2.2386050051525387e-9,
10,0.0027109139751996083,1.2106744531724712e-6,0.0011204470606821315,0.03906611640024699,3.5379271680667125e-15,2.427876988637024e-5,0.19963167684204228,,7.562972247046214,2.427876988637024e-5,,1.0475775131189414e-8,6.847821426654542e-6,,1.6361002538869132e-10,
11,0.002015368326384069,1.4891042956623868e-8,0.00024409693609917375,0.009332686205623438,2.755550892011894e-15,6.595857191428435e-6,0.06207109930214879,,5.644012444777667,6.595857191428435e-6,,2.4687003984980374e-9,1.872953899682827e-6,,1.0226547644057291e-11,
12,0.0014639662463432448,4.981731526546326e-9,2.999211382204589e-5,0.0020432846810001927,,1.7289989913665467e-6,0.02256227334493039,,3.613398464726896,1.7289989913665467e-6,,4.850037846973559e-9,4.2173650186422563e-7,,6.958402538681947e-13,
13,0.0010991631895078211,4.093295617313107e-10,2.8644583269269064e-5,0.0011777927367915737,,4.754221707025407e-7,0.022138070068065313,,2.1676252087377716,4.754221707025407e-7,,2.4718036314580542e-9,1.1709886278512562e-7,,4.6082084498950005e-14,
14,0.0009065794816930459,4.2715884481753126e-12,4.093042162801199e-6,0.0009263747572404107,,1.2580496305687094e-7,0.008813957940886505,,1.489470947397498,1.2580496305687094e-7,,1.1631290217697409e-11,3.164991960651833e-8,,4.156299141108138e-15,
15,0.0007982449762230035,1.9207584907444657e-13,5.97547622222758e-7,0.0001861580411306335,,3.36116412948835e-8,0.004005205069738003,,0.9787481366979698,3.36116412948835e-8,,9.552490528157632e-13,9.818568033419744e-9,,2.6892746240147514e-15,
16,0.0007293209166292955,1.6162374036815803e-14,1.889004068650202e-7,4.5861877386872906e-5,,9.078199068103468e-9,0.0017228312971663807,,0.6339470024329903,9.078199068103468e-9,,4.3278226289770525e-14,2.79740941212408e-9,,,
17,0.0006463612445821184,3.785508205383452e-16,1.6285405186057738e-6,8.886444695798147e-6,,2.3986134812893786e-9,0.0011316029389940845,,0.42522346634807706,2.3986134812893786e-9,,1.311231858288356e-14,7.771853714780774e-10,,,
18,0.0005472748991507036,,8.264887902825132e-9,2.2194119779956004e-6,,6.477099249244829e-10,0.0003612029822220214,,0.2918727706136058,6.477099249244829e-10,,3.358482628334965e-15,2.2828847187927918e-10,,,
19,0.00047779906587720755,,1.286066941980808e-9,6.574137554248609e-7,,1.7206993072842986e-10,7.583749111667154e-5,,0.17313895594552448,1.7206993072842986e-10,,1.0929574448499097e-14,7.208939594177033e-11,,,
20,0.00040310837262978803,,2.626809426875667e-10,6.182435899092567e-7,,4.6959109462719614e-11,2.1232830040484532e-5,,0.12521244453602742,4.6959109462719614e-11,,2.843440521014255e-16,1.7127872016302673e-11,,,
21,0.0003630704669162253,,1.3987709026885934e-10,6.175052504425968e-7,,1.723570425482008e-11,1.2073779590152576e-5,,0.10942575313967054,1.723570425482008e-11,,,5.018072284943962e-12,,,
22,0.0003166525669858051,,2.256537788193669e-11,6.175050100088619e-7,,4.807651150609095e-12,2.8579850165797444e-6,,0.08197531757864973,4.807651150609095e-12,,,8.610834097763929e-13,,,
23,0.000271537722880003,,5.851405023163794e-12,4.2799296516449006e-7,,1.282959782950591e-12,1.5748352486102596e-6,,0.054110494728983355,1.282959782950591e-12,,,2.1086303421417545e-13,,,
24,0.00023529080760680544,,1.9415157746674683e-11,1.0094082647709936e-7,,3.4382834567714853e-13,9.630299979857043e-7,,0.048912347839431276,3.4382834567714853e-13,,,4.6013782391068193e-14,,,
25,0.00021249431683562417,,1.624797883775105e-14,2.212048565527909e-8,,9.202204090704531e-14,7.178398250327335e-7,,0.033933629685152254,9.202204090704531e-14,,,3.5422516673202983e-15,,,
26,0.00018461868005687559,,,5.4056754234240895e-9,,2.4655042776917174e-14,2.1690219133338065e-7,,0.023041884339824962,2.4655042776917174e-14,,,3.3395152878500753e-16,,,
27,0.00015671387864832505,,,1.7588805218222355e-9,,6.607988749498252e-15,1.161510336466538e-7,,0.016277007837551226,6.607988749498252e-15,,,2.640652051920785e-17,,,
28,0.00012325505887739697,,,8.745007931820866e-10,,1.852321532324402e-15,9.421466858267583e-8,,0.01037012418187646,1.852321532324402e-15,,,,,,
29,0.00010104290846848155,,,5.374814823959894e-10,,,8.707894440520957e-8,,0.006712969717530933,,,,,,,
30,7.727502907079813e-5,,,1.6264242217461034e-10,,,6.761742435973225e-8,,0.0049616577628237395,,,,,,,
31,5.555698424171215e-5,,,1.1439703757135686e-10,,,6.394228810074604e-8,,0.003077492720982511,,,,,,,
32,3.5157413887381496e-5,,,5.0260843568051866e-11,,,2.2800767152777402e-8,,0.002069070482332917,,,,,,,
33,2.420673772189371e-5,,,1.8525640066179383e-11,,,5.688261726041935e-9,,0.001349432743303354,,,,,,,
34,1.843196665789598e-5,,,8.12861605928352e-12,,,1.206412810574447e-9,,0.0008932808982515547,,,,,,,
35,1.3296024355675308e-5,,,2.6330039651105485e-12,,,4.978091283234785e-10,,0.0006005814677067115,,,,,,,
36,8.612878851286652e-6,,,7.54117786466296e-13,,,3.442705666940429e-10,,0.0003543037717827589,,,,,,,
37,5.0053543321962324e-6,,,2.55035437329803e-13,,,3.3403007949716526e-10,,0.00023605744868476382,,,,,,,
38,3.031875822974428e-6,,,2.535317610895737e-13,,,2.681459521996296e-10,,0.00016133902608836485,,,,,,,
39,2.1296584231537007e-6,,,1.2192154246358035e-13,,,1.0535933822376004e-10,,0.00010709533221714818,,,,,,,
40,1.2595303657985078e-6,,,3.0526535378905155e-14,,,6.041295408616641e-11,,6.32149075641475e-5,,,,,,,
41,9.562456531193196e-7,,,1.6916747571124227e-14,,,4.6108811764682705e-11,,5.5339259192750826e-5,,,,,,,
42,7.006176877647359e-7,,,1.68882514862806e-14,,,3.945854767211129e-11,,3.859333693689458e-5,,,,,,,
43,4.872128845774259e-7,,,4.9614768689783455e-15,,,1.7614595854305165e-11,,3.373475403004687e-5,,,,,,,
44,3.2148986059167864e-7,,,3.825476611955623e-15,,,1.1425727686230165e-11,,2.380426173525741e-5,,,,,,,
45,1.9984661953212134e-7,,,2.424967754585633e-15,,,1.0217325000916915e-11,,1.541183361951428e-5,,,,,,,
46,1.3899909878943836e-7,,,,,,9.741946786211971e-12,,1.1418151220708064e-5,,,,,,,
47,9.405392839041183e-8,,,,,,5.6578495216057725e-12,,6.382542001114245e-6,,,,,,,
48,6.747296932500948e-8,,,,,,4.3211606727330054e-12,,4.2394260938994475e-6,,,,,,,
49,4.43301438795723e-8,,,,,,3.5491977056251684e-12,,3.011281411692487e-6,,,,,,,
50,2.887135163657705e-8,,,,,,8.939865229276695e-13,,2.070011259290291e-6,,,,,,,
51,2.0373643662542544e-8,,,,,,2.3083839436543953e-13,,1.4134288120034843e-6,,,,,,,
52,1.4455932188276343e-8,,,,,,5.863266206508744e-14,,8.463561990359486e-7,,,,,,,
53,9.242820402417522e-9,,,,,,4.023479487459992e-14,,5.946379422783672e-7,,,,,,,
54,5.906896951257642e-9,,,,,,3.337316630838628e-14,,4.3396324600492573e-7,,,,,,,
55,3.995360706400535e-9,,,,,,1.8903063698117492e-14,,2.784025606321798e-7,,,,,,,
56,2.911451704228789e-9,,,,,,1.2520800053600405e-14,,1.8418162221059347e-7,,,,,,,
57,1.8934558385884976e-9,,,,,,4.2862910983917314e-15,,1.1421459346194946e-7,,,,,,,
58,1.2712284832913713e-9,,,,,,1.4842728236477844e-15,,8.020448008579868e-8,,,,,,,
59,7.981664890010657e-10,,,,,,,,5.408742877605609e-8,,,,,,,
60,6.628099712836379e-10,,,,,,,,3.672370563384369e-8,,,,,,,
61,5.952831941276939e-10,,,,,,,,3.036638871292135e-8,,,,,,,
62,5.214145516152259e-10,,,,,,,,2.7951946645154705e-8,,,,,,,
63,4.685783369475737e-10,,,,,,,,2.2015990142235152e-8,,,,,,,
64,4.1448859183350617e-10,,,,,,,,1.3315559606454292e-8,,,,,,,
65,3.7146051948174717e-10,,,,,,,,8.851416610297702e-9,,,,,,,
66,3.1416983544769993e-10,,,,,,,,6.16526407905194e-9,,,,,,,
67,2.631994470186635e-10,,,,,,,,4.134171570430402e-9,,,,,,,
68,2.0805933413364894e-10,,,,,,,,2.8571931931522837e-9,,,,,,,
69,1.6034821497776774e-10,,,,,,,,2.013821527466525e-9,,,,,,,
70,1.0785094379930823e-10,,,,,,,,1.2995089026009464e-9,,,,,,,
71,7.48602467132106e-11,,,,,,,,9.010441154785718e-10,,,,,,,
72,5.3992733427296256e-11,,,,,,,,6.100170240079848e-10,,,,,,,
73,3.455461346132043e-11,,,,,,,,3.6938995379221426e-10,,,,,,,
74,2.314842430756982e-11,,,,,,,,2.714692734544912e-10,,,,,,,
75,1.584889844314283e-11,,,,,,,,1.8591099074381603e-10,,,,,,,
76,1.072654196718398e-11,,,,,,,,9.586149371582946e-11,,,,,,,
77,6.910525618574198e-12,,,,,,,,7.574309028507906e-11,,,,,,,
78,4.3102264669273835e-12,,,,,,,,4.972842023961836e-11,,,,,,,
79,3.07593727846056e-12,,,,,,,,3.433258199876735e-11,,,,,,,
80,1.9718789376690543e-12,,,,,,,,2.2787044998460226e-11,,,,,,,
81,1.5032840879874509e-12,,,,,,,,2.0546304497208484e-11,,,,,,,
82,1.133974429798285e-12,,,,,,,,1.900776435415572e-11,,,,,,,
83,7.606136834045301e-13,,,,,,,,1.2544064657145866e-11,,,,,,,
84,5.241673322331238e-13,,,,,,,,8.770612171812401e-12,,,,,,,
85,3.4468672254960643e-13,,,,,,,,5.925634302321811e-12,,,,,,,
86,2.3371959143903327e-13,,,,,,,,4.05144513534389e-12,,,,,,,
87,1.4755544065427782e-13,,,,,,,,2.5563575004813824e-12,,,,,,,
88,1.0270775545578118e-13,,,,,,,,1.6462630526616415e-12,,,,,,,
89,7.807954126854801e-14,,,,,,,,1.098921478438931e-12,,,,,,,
90,5.719370356367245e-14,,,,,,,,7.454499211812485e-13,,,,,,,
91,4.3723063863860505e-14,,,,,,,,5.043559196095463e-13,,,,,,,
92,3.552022709117772e-14,,,,,,,,,,,,,,,
93,2.9636820508949035e-14,,,,,,,,,,,,,,,
94,2.6045189197663374e-14,,,,,,,,,,,,,,,
95,2.3005696988874647e-14,,,,,,,,,,,,,,,
96,2.0296656512643978e-14,,,,,,,,,,,,,,,
97,1.7862320249987182e-14,,,,,,,,,,,,,,,
98,1.5553668874542644e-14,,,,,,,,,,,,,,,
99,1.2011955003190372e-14,,,,,,,,,,,,,,,
100,9.962181886832948e-15,,,,,,,,,,,,,,,
101,8.439800646054027e-15,,,,,,,,,,,,,,,
102,6.7037681750804985e-15,,,,,,,,,,,,,,,
103,5.818905371455597e-15,,,,,,,,,,,,,,,
104,5.086352778976768e-15,,,,,,,,,,,,,,,
105,4.505600270983274e-15,,,,,,,,,,,,,,,
106,3.948560683795557e-15,,,,,,,,,,,,,,,
107,3.493884671526246e-15,,,,,,,,,,,,,,,
108,3.02285078841381e-15,,,,,,,,,,,,,,,
109,2.519022629429795e-15,,,,,,,,,,,,,,,
110,1.8450300799811615e-15,,,,,,,,,,,,,,,
111,1.3655971705324638e-15,,,,,,,,,,,,,,,
112,1.0416714826135336e-15,,,,,,,,,,,,,,,
113,6.932130438080629e-16,,,,,,,,,,,,,,,
114,4.697745983599572e-16,,,,,,,,,,,,,,,
115,3.1900942299985973e-16,,,,,,,,,,,,,,,
116,2.1044346912582841e-16,,,,,,,,,,,,,,,
117,1.461989087447498e-16,,,,,,,,,,,,,,,
118,1.0147285904056093e-16,,,,,,,,,,,,,,,
