Iteration,GMRES + IChol(2),GMRES + ILU(0.01),GMRES (No Precond),GMRES + ILU0,GMRES + AMG(RS),GMRES + Diagonal,GMRES + AMG(SA)
1,6.865139645137713,6.232542588319713,0.10210387428038034,0.836447253914558,8.483797753633036,6.232542588319713,8.5025431761287
2,0.12809617085821545,1.1350071704740599,0.05252056315473205,0.019652042650166648,8.404841432750965,1.1350071704740599,8.417659170240126
3,0.004949170618411437,0.25830644006768927,0.031243360684282056,0.00046854036729602973,2.391180935188052,0.25830644006768927,2.3989526232884115
4,0.0002382421023508475,0.06882049874977914,0.022007217523832407,1.1188463289044816e-5,1.6320533449218397,0.06882049874977914,1.637096599419407
5,1.0442274066854768e-5,0.01804551044612812,0.01547638236275218,2.7312028357000354e-7,1.6152216444379655,0.01804551044612812,1.6215902142230587
6,5.328608828931669e-7,0.0047770057587278765,0.010691888271057296,6.466647688573303e-9,1.4172309458363233,0.0047770057587278765,1.4377390170504476
7,2.5322660590258802e-8,0.001290173701511515,0.00747438491262779,1.5652595079492652e-10,0.6920024119457346,0.001290173701511515,1.2306591042632573
8,1.2970933023973255e-9,0.00034012188641782324,0.005020782109214093,3.747519890133431e-12,0.25491658116916266,0.00034012188641782324,0.9921786472216907
9,6.264648989504435e-11,9.219256173639804e-5,0.0036164144339963836,9.050072671617559e-14,0.1309715615897922,9.219256173639804e-5,0.3818526906594681
10,3.1006795311826744e-12,2.427876988637024e-5,0.0027109139751996083,3.5379271680667125e-15,0.03906611640024699,2.427876988637024e-5,0.19963167684204228
11,1.351613784129128e-13,6.595857191428435e-6,0.002015368326384069,2.755550892011894e-15,0.009332686205623438,6.595857191428435e-6,0.06207109930214879
12,7.287238135825526e-15,1.7289989913665467e-6,0.0014639662463432448,,0.0020432846810001927,1.7289989913665467e-6,0.02256227334493039
13,3.1801822288330518e-15,4.754221707025407e-7,0.0010991631895078211,,0.0011777927367915737,4.754221707025407e-7,0.022138070068065313
14,3.167560346055589e-15,1.2580496305687094e-7,0.0009065794816930459,,0.0009263747572404107,1.2580496305687094e-7,0.008813957940886505
15,3.167526943014634e-15,3.36116412948835e-8,0.0007982449762230035,,0.0001861580411306335,3.36116412948835e-8,0.004005205069738003
16,3.167526869658702e-15,9.078199068103468e-9,0.0007293209166292955,,4.5861877386872906e-5,9.078199068103468e-9,0.0017228312971663807
17,3.1675268694594037e-15,2.3986134812893786e-9,0.0006463612445821184,,8.886444695798147e-6,2.3986134812893786e-9,0.0011316029389940845
18,3.167526869458931e-15,6.477099249244829e-10,0.0005472748991507036,,2.2194119779956004e-6,6.477099249244829e-10,0.0003612029822220214
19,3.1675268694589304e-15,1.7206993072842986e-10,0.00047779906587720755,,6.574137554248609e-7,1.7206993072842986e-10,7.583749111667154e-5
20,3.167526869458928e-15,4.6959109462719614e-11,0.00040310837262978803,,6.182435899092567e-7,4.6959109462719614e-11,2.1232830040484532e-5
21,2.215558195881111e-15,1.723570425482008e-11,0.0003630704669162253,,6.175052504425968e-7,1.723570425482008e-11,1.2073779590152576e-5
22,,4.807651150609095e-12,0.0003166525669858051,,6.175050100088619e-7,4.807651150609095e-12,2.8579850165797444e-6
23,,1.282959782950591e-12,0.000271537722880003,,4.2799296516449006e-7,1.282959782950591e-12,1.5748352486102596e-6
24,,3.4382834567714853e-13,0.00023529080760680544,,1.0094082647709936e-7,3.4382834567714853e-13,9.630299979857043e-7
25,,9.202204090704531e-14,0.00021249431683562417,,2.212048565527909e-8,9.202204090704531e-14,7.178398250327335e-7
26,,2.4655042776917174e-14,0.00018461868005687559,,5.4056754234240895e-9,2.4655042776917174e-14,2.1690219133338065e-7
27,,6.607988749498252e-15,0.00015671387864832505,,1.7588805218222355e-9,6.607988749498252e-15,1.161510336466538e-7
28,,1.852321532324402e-15,0.00012325505887739697,,8.745007931820866e-10,1.852321532324402e-15,9.421466858267583e-8
29,,,0.00010104290846848155,,5.374814823959894e-10,,8.707894440520957e-8
30,,,7.727502907079813e-5,,1.6264242217461034e-10,,6.761742435973225e-8
31,,,5.555698424171215e-5,,1.1439703757135686e-10,,6.394228810074604e-8
32,,,3.5157413887381496e-5,,5.0260843568051866e-11,,2.2800767152777402e-8
33,,,2.420673772189371e-5,,1.8525640066179383e-11,,5.688261726041935e-9
34,,,1.843196665789598e-5,,8.12861605928352e-12,,1.206412810574447e-9
35,,,1.3296024355675308e-5,,2.6330039651105485e-12,,4.978091283234785e-10
36,,,8.612878851286652e-6,,7.54117786466296e-13,,3.442705666940429e-10
37,,,5.0053543321962324e-6,,2.55035437329803e-13,,3.3403007949716526e-10
38,,,3.031875822974428e-6,,2.535317610895737e-13,,2.681459521996296e-10
39,,,2.1296584231537007e-6,,1.2192154246358035e-13,,1.0535933822376004e-10
40,,,1.2595303657985078e-6,,3.0526535378905155e-14,,6.041295408616641e-11
41,,,9.562456531193196e-7,,1.6916747571124227e-14,,4.6108811764682705e-11
42,,,7.006176877647359e-7,,1.68882514862806e-14,,3.945854767211129e-11
43,,,4.872128845774259e-7,,4.9614768689783455e-15,,1.7614595854305165e-11
44,,,3.2148986059167864e-7,,3.825476611955623e-15,,1.1425727686230165e-11
45,,,1.9984661953212134e-7,,2.424967754585633e-15,,1.0217325000916915e-11
46,,,1.3899909878943836e-7,,,,9.741946786211971e-12
47,,,9.405392839041183e-8,,,,5.6578495216057725e-12
48,,,6.747296932500948e-8,,,,4.3211606727330054e-12
49,,,4.43301438795723e-8,,,,3.5491977056251684e-12
50,,,2.887135163657705e-8,,,,8.939865229276695e-13
51,,,2.0373643662542544e-8,,,,2.3083839436543953e-13
52,,,1.4455932188276343e-8,,,,5.863266206508744e-14
53,,,9.242820402417522e-9,,,,4.023479487459992e-14
54,,,5.906896951257642e-9,,,,3.337316630838628e-14
55,,,3.995360706400535e-9,,,,1.8903063698117492e-14
56,,,2.911451704228789e-9,,,,1.2520800053600405e-14
57,,,1.8934558385884976e-9,,,,4.2862910983917314e-15
58,,,1.2712284832913713e-9,,,,1.4842728236477844e-15
59,,,7.981664890010657e-10,,,,
60,,,6.628099712836379e-10,,,,
61,,,5.952831941276939e-10,,,,
62,,,5.214145516152259e-10,,,,
63,,,4.685783369475737e-10,,,,
64,,,4.1448859183350617e-10,,,,
65,,,3.7146051948174717e-10,,,,
66,,,3.1416983544769993e-10,,,,
67,,,2.631994470186635e-10,,,,
68,,,2.0805933413364894e-10,,,,
69,,,1.6034821497776774e-10,,,,
70,,,1.0785094379930823e-10,,,,
71,,,7.48602467132106e-11,,,,
72,,,5.3992733427296256e-11,,,,
73,,,3.455461346132043e-11,,,,
74,,,2.314842430756982e-11,,,,
75,,,1.584889844314283e-11,,,,
76,,,1.072654196718398e-11,,,,
77,,,6.910525618574198e-12,,,,
78,,,4.3102264669273835e-12,,,,
79,,,3.07593727846056e-12,,,,
80,,,1.9718789376690543e-12,,,,
81,,,1.5032840879874509e-12,,,,
82,,,1.133974429798285e-12,,,,
83,,,7.606136834045301e-13,,,,
84,,,5.241673322331238e-13,,,,
85,,,3.4468672254960643e-13,,,,
86,,,2.3371959143903327e-13,,,,
87,,,1.4755544065427782e-13,,,,
88,,,1.0270775545578118e-13,,,,
89,,,7.807954126854801e-14,,,,
90,,,5.719370356367245e-14,,,,
91,,,4.3723063863860505e-14,,,,
92,,,3.552022709117772e-14,,,,
93,,,2.9636820508949035e-14,,,,
94,,,2.6045189197663374e-14,,,,
95,,,2.3005696988874647e-14,,,,
96,,,2.0296656512643978e-14,,,,
97,,,1.7862320249987182e-14,,,,
98,,,1.5553668874542644e-14,,,,
99,,,1.2011955003190372e-14,,,,
100,,,9.962181886832948e-15,,,,
101,,,8.439800646054027e-15,,,,
102,,,6.7037681750804985e-15,,,,
103,,,5.818905371455597e-15,,,,
104,,,5.086352778976768e-15,,,,
105,,,4.505600270983274e-15,,,,
106,,,3.948560683795557e-15,,,,
107,,,3.493884671526246e-15,,,,
108,,,3.02285078841381e-15,,,,
109,,,2.519022629429795e-15,,,,
110,,,1.8450300799811615e-15,,,,
111,,,1.3655971705324638e-15,,,,
112,,,1.0416714826135336e-15,,,,
113,,,6.932130438080629e-16,,,,
114,,,4.697745983599572e-16,,,,
115,,,3.1900942299985973e-16,,,,
116,,,2.1044346912582841e-16,,,,
117,,,1.461989087447498e-16,,,,
118,,,1.0147285904056093e-16,,,,
