Iteration,GMRES+ILU0,BiCGSTAB,GMRES,CG,BiCGSTAB+ILU0
1,0.836447253914558,0.022352989221605588,0.10210387428038034,0.10396159353782014,1.4701256851810182e-5
2,0.019652042650166648,0.00561495102219324,0.05252056315473205,0.061356379048068316,6.769584062758388e-11
3,0.00046854036729602973,0.0019264823091045536,0.031243360684282056,0.03905493121257208,3.899698318322064e-18
4,1.1188463289044816e-5,0.0008697365424043571,0.022007217523832407,0.031121151285619694,
5,2.7312028357000354e-7,0.0006050226385035095,0.01547638236275218,0.02190722990797949,
6,6.466647688573303e-9,0.000401123336722507,0.010691888271057296,0.014959045150030291,
7,1.5652595079492652e-10,0.00018704009589677636,0.00747438491262779,0.010663594133263574,
8,3.747519890133431e-12,6.597574275310803e-5,0.005020782109214093,0.006983580377661171,
9,9.050072671617559e-14,1.691842467565781e-5,0.0036164144339963836,0.0053843087256153985,
10,3.5379271680667125e-15,4.0047587491623884e-6,0.0027109139751996083,0.00427004097012118,
11,2.755550892011894e-15,1.0769188016110116e-6,0.002015368326384069,0.0032524400064331415,
12,,2.4880331233223105e-7,0.0014639662463432448,0.0023119032058734044,
13,,6.431130461338705e-8,0.0010991631895078211,0.0018810226061227783,
14,,1.492312710482498e-8,0.0009065794816930459,0.00176037840742419,
15,,4.118219884323145e-9,0.0007982449762230035,0.0017601233712082915,
16,,1.1565061803513862e-9,0.0007293209166292955,0.00185988974743367,
17,,3.050382040915646e-10,0.0006463612445821184,0.0016711580888280966,
18,,7.703146513128781e-11,0.0005472748991507036,0.001233109917145423,
19,,1.9958728547849705e-11,0.00047779906587720755,0.0012339691653044246,
20,,3.768653219633367e-12,0.00040310837262978803,0.0010863282576015964,
21,,8.526270925578811e-13,0.0003630704669162253,0.0009470499041707131,
22,,1.393459411610624e-13,0.0003166525669858051,0.0007732157264554653,
23,,2.6208217987022034e-14,0.000271537722880003,0.0005319369464837033,
24,,5.170261392158461e-15,0.00023529080760680544,0.00046520103600868176,
25,,3.8934197033650748e-16,0.00021249431683562417,0.000363887448624311,
26,,3.135669769711181e-17,0.00018461868005687559,0.00033062328163667703,
27,,,0.00015671387864832505,0.00031668528885278065,
28,,,0.00012325505887739697,0.0002690825534305219,
29,,,0.00010104290846848155,0.00022782152572612324,
30,,,7.727502907079813e-5,0.00020325935096223753,
31,,,5.555698424171215e-5,0.000189051042816412,
32,,,3.5157413887381496e-5,0.00017894972193799568,
33,,,2.420673772189371e-5,0.00018655061535309973,
34,,,1.843196665789598e-5,0.0001924454616254602,
35,,,1.3296024355675308e-5,0.00017766619084298255,
36,,,8.612878851286652e-6,0.00016327765526502743,
37,,,5.0053543321962324e-6,0.00015411498675632954,
38,,,3.031875822974428e-6,0.0001479955063076888,
39,,,2.1296584231537007e-6,0.00014285441944151287,
40,,,1.2595303657985078e-6,0.00014447618657981347,
41,,,9.562456531193196e-7,0.00015234930314396964,
42,,,7.006176877647359e-7,0.00015301793986058313,
43,,,4.872128845774259e-7,0.00014702400971471684,
44,,,3.2148986059167864e-7,0.00014298138606393167,
45,,,1.9984661953212134e-7,0.00013694742557888263,
46,,,1.3899909878943836e-7,0.00012640493451511188,
47,,,9.405392839041183e-8,0.00011749870139357043,
48,,,6.747296932500948e-8,0.00011294097188762307,
49,,,4.43301438795723e-8,0.00011082127141345935,
50,,,2.887135163657705e-8,0.0001103121490302664,
51,,,2.0373643662542544e-8,0.00011160076210057801,
52,,,1.4455932188276343e-8,0.00011361091144912739,
53,,,9.242820402417522e-9,0.0001146041469547544,
54,,,5.906896951257642e-9,0.0001134364158881719,
55,,,3.995360706400535e-9,0.00010976365737560783,
56,,,2.911451704228789e-9,0.00010432465721022873,
57,,,1.8934558385884976e-9,9.888944465417617e-5,
58,,,1.2712284832913713e-9,9.498784933810568e-5,
59,,,7.981664890010657e-10,9.284754674464972e-5,
60,,,6.628099712836379e-10,9.175992428328539e-5,
61,,,5.952831941276939e-10,9.117652835134416e-5,
62,,,5.214145516152259e-10,9.115824399628566e-5,
63,,,4.685783369475737e-10,9.186360251395184e-5,
64,,,4.1448859183350617e-10,9.30997110719073e-5,
65,,,3.7146051948174717e-10,9.457629954092704e-5,
66,,,3.1416983544769993e-10,9.627190832288299e-5,
67,,,2.631994470186635e-10,9.821764481085778e-5,
68,,,2.0805933413364894e-10,9.999773093080697e-5,
69,,,1.6034821497776774e-10,0.00010075793576160125,
70,,,1.0785094379930823e-10,9.990975186037551e-5,
71,,,7.48602467132106e-11,9.778422307073202e-5,
72,,,5.3992733427296256e-11,9.542873385354454e-5,
73,,,3.455461346132043e-11,9.378882851855395e-5,
74,,,2.314842430756982e-11,9.312623244671947e-5,
75,,,1.584889844314283e-11,9.305522069147618e-5,
76,,,1.072654196718398e-11,9.301638329406107e-5,
77,,,6.910525618574198e-12,9.278345665918908e-5,
78,,,4.3102264669273835e-12,9.262315472765313e-5,
79,,,3.07593727846056e-12,9.304006821580635e-5,
80,,,1.9718789376690543e-12,9.438395485188804e-5,
81,,,1.5032840879874509e-12,9.661419073437523e-5,
82,,,1.133974429798285e-12,9.93139087060559e-5,
83,,,7.606136834045301e-13,0.00010189053399260633,
84,,,5.241673322331238e-13,0.00010383041240879174,
85,,,3.4468672254960643e-13,0.0001048680631790806,
86,,,2.3371959143903327e-13,0.00010500525500394065,
87,,,1.4755544065427782e-13,0.00010442424733074252,
88,,,1.0270775545578118e-13,0.00010338241093983458,
89,,,7.807954126854801e-14,0.00010213667900322802,
90,,,5.719370356367245e-14,0.00010089632296496763,
91,,,4.3723063863860505e-14,9.979017699976927e-5,
92,,,3.552022709117772e-14,9.88494213271049e-5,
93,,,2.9636820508949035e-14,9.801902117108174e-5,
94,,,2.6045189197663374e-14,9.72044526760104e-5,
95,,,2.3005696988874647e-14,9.63397083710813e-5,
96,,,2.0296656512643978e-14,9.544382701248291e-5,
97,,,1.7862320249987182e-14,9.463375859360166e-5,
98,,,1.5553668874542644e-14,9.408506761771293e-5,
99,,,1.2011955003190372e-14,9.39616933765846e-5,
100,,,9.962181886832948e-15,9.43497005943635e-5,
101,,,8.439800646054027e-15,9.522269913264313e-5,
102,,,6.7037681750804985e-15,9.644953501815222e-5,
103,,,5.818905371455597e-15,9.783830368793552e-5,
104,,,5.086352778976768e-15,9.919769427195241e-5,
105,,,4.505600270983274e-15,0.00010038965529555502,
106,,,3.948560683795557e-15,0.00010135171550662507,
107,,,3.493884671526246e-15,0.0001020837124640147,
108,,,3.02285078841381e-15,0.00010261257744640678,
109,,,2.519022629429795e-15,0.00010295764282595251,
110,,,1.8450300799811615e-15,0.00010311379285487188,
111,,,1.3655971705324638e-15,0.00010305683276466854,
112,,,1.0416714826135336e-15,0.00010276341535344954,
113,,,6.932130438080629e-16,0.00010223215930576764,
114,,,4.697745983599572e-16,0.00010149441525026313,
115,,,3.1900942299985973e-16,0.00010061026814050597,
116,,,2.1044346912582841e-16,9.965340941020556e-5,
117,,,1.461989087447498e-16,9.869323262324147e-5,
118,,,1.0147285904056093e-16,9.77822523255381e-5,
119,,,,9.695305623555814e-5,
120,,,,9.622414429439943e-5,
121,,,,9.561039091050812e-5,
122,,,,9.513256571917953e-5,
123,,,,9.482142295863289e-5,
124,,,,9.47145773261535e-5,
125,,,,9.484745793183851e-5,
126,,,,9.524182251137308e-5,
127,,,,9.589597281968317e-5,
128,,,,9.678004878754218e-5,
129,,,,9.783812184065193e-5,
130,,,,9.89967888378386e-5,
131,,,,0.00010017802149292775,
132,,,,0.0001013126339489211,
133,,,,0.00010235044392208512,
134,,,,0.00010326433106629935,
135,,,,0.00010404762380909898,
136,,,,0.0001047066304785031,
137,,,,0.00010525161933147394,
138,,,,0.00010568960451677156,
139,,,,0.00010602110485689006,
140,,,,0.00010624127942235036,
141,,,,0.00010634423572310585,
142,,,,0.00010632836214150856,
143,,,,0.0001062004594316216,
144,,,,0.00010597714287972347,
145,,,,0.00010568312357978064,
146,,,,0.00010534710526070192,
147,,,,0.00010499676390125774,
148,,,,0.00010465442762084905,
149,,,,0.00010433469694229055,
150,,,,0.00010404454969686806,
151,,,,0.00010378570994810283,
152,,,,0.00010355843541897564,
153,,,,0.00010336553231592017,
154,,,,0.00010321540321839179,
155,,,,0.00010312325228777968,
156,,,,0.00010311010644778988,
157,,,,0.00010319989565232328,
158,,,,0.0001034153016653544,
159,,,,0.00010377332423663774,
160,,,,0.00010428150696041162,
161,,,,0.00010493556622858436,
162,,,,0.00010571885781835126,
163,,,,0.00010660376821956921,
164,,,,0.00010755477957140223,
165,,,,0.00010853266369228308,
166,,,,0.00010949905273874031,
167,,,,0.00011042055979940577,
168,,,,0.00011127171986898118,
169,,,,0.00011203628871321598,
170,,,,0.00011270681666463091,
171,,,,0.00011328280405896148,
172,,,,0.00011376803492048832,
173,,,,0.00011416780115280838,
174,,,,0.00011448665690516445,
175,,,,0.00011472712514777345,
176,,,,0.00011488949192306419,
177,,,,0.00011497254831469085,
178,,,,0.00011497493860032736,
179,,,,0.00011489668038355617,
180,,,,0.00011474044420126186,
181,,,,0.00011451229530731998,
182,,,,0.00011422176916578016,
183,,,,0.00011388132677650931,
184,,,,0.00011350537320481825,
185,,,,0.00011310909502035331,
186,,,,0.00011270737282173067,
187,,,,0.00011231396555652278,
188,,,,0.00011194106795215216,
189,,,,0.00011159923876262138,
190,,,,0.00011129761010816245,
191,,,,0.00011104423372795498,
192,,,,0.00011084640593203976,
193,,,,0.0001107108376956578,
194,,,,0.00011064359027735021,
195,,,,0.0001106497654840947,
196,,,,0.00011073300711264761,
197,,,,0.00011089492189788155,
198,,,,0.00011113455486599255,
199,,,,0.0001114480516347542,
200,,,,0.00011182861091866924,
201,,,,0.00011226678064405179,
202,,,,0.0001127510897583309,
203,,,,0.00011326894545541174,
204,,,,0.00011380767273463384,
205,,,,0.00011435553955973265,
206,,,,0.00011490260351343716,
207,,,,0.00011544123778129489,
208,,,,0.00011596624322986987,
209,,,,0.00011647452146093922,
210,,,,0.0001169643590644287,
211,,,,0.0001174344423312574,
212,,,,0.00011788277230418727,
213,,,,0.00011830567386937848,
214,,,,0.0001186970860476507,
215,,,,0.00011904828473237889,
216,,,,0.00011934812853035273,
217,,,,0.0001195838406403073,
218,,,,0.00011974225482488017,
219,,,,0.00011981137360020617,
220,,,,0.00011978202516076572,
221,,,,0.00011964937488867397,
222,,,,0.00011941405624956477,
223,,,,0.00011908273589322842,
224,,,,0.0001186680111893743,
225,,,,0.00011818763938726107,
226,,,,0.00011766319597355912,
227,,,,0.0001171183368437911,
228,,,,0.00011657688227673762,
229,,,,0.00011606094713461581,
230,,,,0.00011558931632150728,
231,,,,0.00011517621764667871,
232,,,,0.00011483058735448781,
233,,,,0.00011455586610892914,
234,,,,0.0001143503109617134,
235,,,,0.00011420776423488395,
236,,,,0.00011411878380039582,
237,,,,0.00011407201113466832,
238,,,,0.00011405563482958256,
239,,,,0.00011405880010096733,
240,,,,0.00011407282172736005,
241,,,,0.00011409208021811011,
242,,,,0.00011411451792035179,
243,,,,0.0001141416992596675,
244,,,,0.00011417845076380988,
245,,,,0.00011423214411892983,
246,,,,0.00011431172214409667,
247,,,,0.00011442658857073351,
248,,,,0.00011458548654656714,
249,,,,0.0001147954797027075,
250,,,,0.00011506112746245903,
251,,,,0.00011538391787707075,
252,,,,0.00011576199108586793,
253,,,,0.00011619015782303713,
254,,,,0.00011666019224935905,
255,,,,0.00011716135777704009,
256,,,,0.00011768110892133343,
257,,,,0.00011820590183599984,
258,,,,0.00011872204138921765,
259,,,,0.00011921649372070877,
260,,,,0.00011967760026460607,
261,,,,0.00012009564179466155,
262,,,,0.00012046321802753563,
263,,,,0.00012077542789959783,
264,,,,0.00012102985553988635,
265,,,,0.00012122638483577765,
266,,,,0.00012136687930772654,
267,,,,0.00012145477244757118,
268,,,,0.00012149461628283513,
269,,,,0.00012149163312366743,
270,,,,0.0001214513083265074,
271,,,,0.00012137905196338033,
272,,,,0.00012127994610990964,
273,,,,0.00012115858349996496,
274,,,,0.00012101899366915884,
275,,,,0.00012086464516905212,
276,,,,0.0001206985073455457,
277,,,,0.00012052315257712125,
278,,,,0.00012034087954576366,
279,,,,0.00012015383967441598,
280,,,,0.00011996415181661701,
281,,,,0.00011977399409635277,
282,,,,0.0001195856659566354,
283,,,,0.0001194016175333343,
284,,,,0.00011922444706983441,
285,,,,0.00011905686998428965,
286,,,,0.00011890166526725363,
287,,,,0.00011876160610273633,
288,,,,0.00011863938203561368,
289,,,,0.00011853751977662257,
290,,,,0.00011845830899617447,
291,,,,0.00011840373836677568,
292,,,,0.00011837544581215232,
293,,,,0.00011837468552382209,
294,,,,0.00011840231289807898,
295,,,,0.00011845878718808381,
296,,,,0.00011854419039993275,
297,,,,0.0001186582598240676,
298,,,,0.0001188004306217424,
299,,,,0.00011896988412523883,
300,,,,0.00011916559701305752,
301,,,,0.0001193863863444644,
302,,,,0.00011963094563433686,
303,,,,0.00011989786775653687,
304,,,,0.00012018565149198509,
305,,,,0.00012049268995876797,
306,,,,0.00012081724090515763,
307,,,,0.00012115738079782264,
308,,,,0.00012151094664431543,
309,,,,0.00012187547137216543,
310,,,,0.00012224812015652848,
311,,,,0.00012262563616074017,
312,,,,0.00012300430456985967,
313,,,,0.0001233799434375331,
314,,,,0.00012374792866732962,
315,,,,0.0001241032584139139,
316,,,,0.00012444065939545831,
317,,,,0.00012475473421573368,
318,,,,0.00012504014504172476,
319,,,,0.0001252918251813453,
320,,,,0.00012550520661910492,
321,,,,0.00012567644877940374,
322,,,,0.00012580265205952822,
323,,,,0.00012588203929756386,
324,,,,0.0001259140894833422,
325,,,,0.0001258996106921089,
326,,,,0.000125840743251013,
327,,,,0.0001257408891978596,
328,,,,0.00012560456968736415,
329,,,,0.00012543721759861393,
330,,,,0.0001252449176573546,
331,,,,0.00012503411044133226,
332,,,,0.00012481127934989113,
333,,,,0.00012458264081438371,
334,,,,0.0001243538576889688,
335,,,,0.00012412979401414762,
336,,,,0.00012391432640657699,
337,,,,0.00012371022346918076,
338,,,,0.00012351910012095506,
339,,,,0.00012334144889292555,
340,,,,0.0001231767452859133,
341,,,,0.00012302361948642027,
342,,,,0.00012288008233823886,
343,,,,0.00012274378972643938,
344,,,,0.00012261232670974153,
345,,,,0.0001224834910874209,
346,,,,0.00012235555581436542,
347,,,,0.0001222274909047836,
348,,,,0.00012209912819004037,
349,,,,0.00012197125636848884,
350,,,,0.00012184563890204352,
351,,,,0.0001217249530453189,
352,,,,0.00012161265413135611,
353,,,,0.00012151277466638388,
354,,,,0.00012142967234755306,
355,,,,0.0001213677444720052,
356,,,,0.00012133112816338047,
357,,,,0.00012132340636839288,
358,,,,0.00012134733876965498,
359,,,,0.00012140463481189674,
360,,,,0.00012149578318237965,
361,,,,0.00012161994856098216,
362,,,,0.00012177494247495363,
363,,,,0.00012195727083805192,
364,,,,0.00012216225637907938,
365,,,,0.00012238422982153145,
366,,,,0.00012261677953412487,
367,,,,0.0001228530456379795,
368,,,,0.00012308604147668242,
369,,,,0.00012330898320097854,
370,,,,0.00012351560725065483,
371,,,,0.0001237004559346371,
372,,,,0.00012385911321060122,
373,,,,0.00012398837609347714,
374,,,,0.00012408635165780686,
375,,,,0.00012415247496705176,
376,,,,0.00012418744897588294,
377,,,,0.00012419311297375398,
378,,,,0.00012417225096159978,
379,,,,0.00012412835506725163,
380,,,,0.000124065361444971,
381,,,,0.00012398737697494338,
382,,,,0.0001238984145450197,
383,,,,0.000123802152953566,
384,,,,0.0001237017347954972,
385,,,,0.00012359961239321614,
386,,,,0.00012349744821117418,
387,,,,0.00012339607251035694,
388,,,,0.0001232954974691092,
389,,,,0.00012319498377974988,
390,,,,0.00012309315294398057,
391,,,,0.00012298813622120745,
392,,,,0.00012287774949992284,
393,,,,0.00012275968231674042,
394,,,,0.00012263168887969054,
395,,,,0.00012249176928038426,
396,,,,0.0001223383300916448,
397,,,,0.00012217031519109236,
398,,,,0.00012198729982879211,
399,,,,0.00012178954352471269,
400,,,,0.0001215780001584526,
401,,,,0.0001213542863968869,
402,,,,0.00012112061219134228,
403,,,,0.00012087967928158554,
404,,,,0.00012063455532622334,
405,,,,0.00012038853234829864,
406,,,,0.00012014497860996484,
407,,,,0.00011990719283626904,
408,,,,0.00011967826896698357,
409,,,,0.00011946097843142949,
410,,,,0.0001192576754359209,
411,,,,0.0001190702290515441,
412,,,,0.00011889998410841164,
413,,,,0.0001187477511437261,
414,,,,0.00011861382400019824,
415,,,,0.00011849802219718379,
416,,,,0.00011839975395365992,
417,,,,0.00011831809477269822,
418,,,,0.00011825187583475227,
419,,,,0.00011819977611616718,
420,,,,0.00011816041216382005,
421,,,,0.00011813241981779512,
422,,,,0.00011811452286654047,
423,,,,0.00011810558460947816,
424,,,,0.00011810463953725381,
425,,,,0.00011811090374782727,
426,,,,0.00011812376421055364,
427,,,,0.00011814274847429813,
428,,,,0.0001181674777917346,
429,,,,0.00011819760780867089,
430,,,,0.00011823276186625147,
431,,,,0.00011827246252597193,
432,,,,0.00011831606711600595,
433,,,,0.00011836271289980957,
434,,,,0.0001184112768952542,
435,,,,0.00011846035445724821,
436,,,,0.00011850825953072491,
437,,,,0.0001185530480523321,
438,,,,0.00011859256441042677,
439,,,,0.0001186245092575711,
440,,,,0.00011864652540915241,
441,,,,0.00011865629716116145,
442,,,,0.00011865165722246097,
443,,,,0.00011863069467515313,
444,,,,0.00011859185702545404,
445,,,,0.00011853403953383298,
446,,,,0.00011845665562885979,
447,,,,0.00011835968328589528,
448,,,,0.00011824368372035323,
449,,,,0.00011810979050025135,
450,,,,0.00011795966909150362,
451,,,,0.00011779544876520159,
452,,,,0.00011761963057332173,
453,,,,0.00011743497660794478,
454,,,,0.00011724438689708977,
455,,,,0.00011705077099125879,
456,,,,0.00011685692153080014,
457,,,,0.00011666539686359556,
458,,,,0.0001164784191441125,
459,,,,0.00011629779334957264,
460,,,,0.0001161248513717241,
461,,,,0.00011596042386478518,
462,,,,0.00011580484093411163,
463,,,,0.00011565796111696552,
464,,,,0.00011551922651485424,
465,,,,0.00011538774046231901,
466,,,,0.00011526236283354277,
467,,,,0.00011514181706609333,
468,,,,0.00011502480228459137,
469,,,,0.00011491010358899266,
470,,,,0.00011479669366794378,
471,,,,0.00011468381941874641,
472,,,,0.00011457106818390784,
473,,,,0.00011445840950008431,
474,,,,0.00011434620981755727,
475,,,,0.00011423521938083372,
476,,,,0.00011412653224086889,
477,,,,0.00011402152206964892,
478,,,,0.00011392175794943743,
479,,,,0.00011382890551233605,
480,,,,0.000113744619639226,
481,,,,0.00011367043535108587,
482,,,,0.0001136076635327398,
483,,,,0.00011355729774039988,
484,,,,0.00011351993760341529,
485,,,,0.0001134957332962081,
486,,,,0.00011348435429598463,
487,,,,0.00011348498422675767,
488,,,,0.00011349634209264924,
489,,,,0.00011351672869535899,
490,,,,0.00011354409558408963,
491,,,,0.00011357613257349341,
492,,,,0.00011361036875851983,
493,,,,0.00011364428112404884,
494,,,,0.00011367540435453712,
495,,,,0.00011370143534387469,
496,,,,0.00011372032621680712,
497,,,,0.00011373036040145314,
498,,,,0.00011373020740571714,
499,,,,0.00011371895338248643,
500,,,,0.00011369610622158603,
501,,,,0.00011366157565846932,
502,,,,0.00011361563060536456,
503,,,,0.00011355883745515653,
504,,,,0.00011349198436068044,
505,,,,0.00011341599735722494,
506,,,,0.00011333185461314283,
507,,,,0.00011324050504040435,
508,,,,0.0001131427969899177,
509,,,,0.00011303942184609712,
510,,,,0.00011293087609986632,
511,,,,0.00011281744401723895,
512,,,,0.00011269920144160687,
513,,,,0.00011257603968555007,
514,,,,0.00011244770699294867,
515,,,,0.00011231386378576388,
516,,,,0.00011217414693850817,
517,,,,0.00011202823771351094,
518,,,,0.00011187592778322826,
519,,,,0.0001117171779752029,
520,,,,0.000111552164983403,
521,,,,0.00011138131224859532,
522,,,,0.00011120530244456191,
523,,,,0.00011102507041894024,
524,,,,0.00011084177691633024,
525,,,,0.00011065676484258071,
526,,,,0.00011047150110510634,
527,,,,0.0001102875080930427,
528,,,,0.00011010628957459037,
